name,senseOfMeaning,variants,pronunciations,wordRole,wordOrigin,wordFormationConvention
ambi,both,ambo,,Prefix,Latin,Combining form
aud,hear,,,Base Element,Latin,Root
ible,able to be,able,,Suffix,Latin,
script,write,scrib,SCRIP|SCRIBE,Base Element,Latin,Root
graph,write or draw,graf,,Base Element,Greek,Root
tion,act or process,sion,,Suffix,Latin,
pre,before,,,Prefix,Latin,Combining form
post,after,,,Prefix,Latin,Combining form
sub,under,,,Prefix,Latin,Combining form
trans,across,,,Prefix,Latin,Combining form
